Invoice_ID,Branch,City,Customer_Type,Gender,Product_Category,Unit_Price,Quantity,Discount,Rating,Discount_Amount,Net_Sales,Tax_7_25_percent,Total_Sales
INV200061,West-1,Sacramento,Member,Male,Home Appliances,238.72,11,0.16,8.7,420.15,2205.77,159.92,2365.69
INV200062,West-2,Fresno,Normal,Female,Home Appliances,239.94,2,0.32,2.9,153.56,326.32,23.66,349.98
INV200063,West-2,Fresno,Normal,Female,Food,156.62,16,0.28,7.1,701.66,1804.26,130.81,1935.07
INV200064,West-2,Sacramento,Member,Female,Electronics,98.32,19,0.15,8.1,280.21,1587.87,115.12,1702.99
INV200065,West-2,San Diego,Member,Female,Clothing,417.08,16,0.02,2.8,133.47,6539.81,474.14,7013.95
INV200066,West-2,Sacramento,Member,Female,Clothing,60.45,7,0.3,8.4,126.94,296.21,21.48,317.69
INV200067,West-2,Santa Ana,Member,Male,Food,562.99,11,0.27,9.6,1672.08,4520.81,327.76,4848.57
INV200068,West-2,San Francisco,Normal,Male,Food,496.88,12,0.28,6.5,1669.52,4293.04,311.25,4604.29
INV200069,West-1,Fresno,Member,Male,Electronics,515.22,4,0.26,8.1,535.83,1525.05,110.57,1635.62
INV200070,West-3,Anaheim,Normal,Female,Home Appliances,544.47,16,0.1,5.8,871.15,7840.37,568.43,8408.8
INV200071,West-2,Santa Ana,Normal,Female,Food,248.12,16,0.3,6.4,1190.98,2778.94,201.47,2980.41
INV200072,West-2,Santa Ana,Member,Male,Cosmetics,508.79,7,0.0,1.1,0.0,3561.53,258.21,3819.74
INV200073,West-2,Santa Ana,Member,Male,Home Appliances,99.05,13,0.08,5.7,103.01,1184.64,85.89,1270.53
INV200074,West-2,Oakland,Member,Female,Food,17.88,5,0.02,6.2,1.79,87.61,6.35,93.96
INV200075,West-2,Santa Ana,Member,Female,Cosmetics,472.01,1,0.04,7.0,18.88,453.13,32.85,485.98
INV200076,West-2,Fresno,Member,Female,Electronics,49.5,5,0.19,2.5,47.02,200.48,14.53,215.01
INV200077,West-3,San Francisco,Member,Male,Cosmetics,593.17,14,0.01,3.2,83.04,8221.34,596.05,8817.39
INV200078,West-3,San Francisco,Normal,Female,Food,406.5,11,0.06,7.8,268.29,4203.21,304.73,4507.94
INV200079,West-2,Santa Ana,Normal,Female,Clothing,453.3,2,0.08,2.5,72.53,834.07,60.47,894.54
INV200080,West-3,Los Angeles,Normal,Female,Food,151.25,18,0.23,4.7,626.18,2096.32,151.98,2248.3
INV200081,West-1,Fresno,Normal,Male,Clothing,405.95,15,0.16,3.3,974.28,5114.97,370.84,5485.81
INV200082,West-2,Fresno,Member,Female,Electronics,30.72,14,0.16,5.9,68.81,361.27,26.19,387.46
INV200083,West-1,San Jose,Member,Male,Electronics,503.51,13,0.27,9.9,1767.32,4778.31,346.43,5124.74
INV200084,West-1,Irvine,Normal,Female,Home Appliances,105.93,2,0.16,8.7,33.9,177.96,12.9,190.86
INV200085,West-2,San Diego,Normal,Female,Home Appliances,419.93,19,0.12,3.4,957.44,7021.23,509.04,7530.27
INV200086,West-3,San Diego,Normal,Male,Clothing,138.57,8,0.34,4.3,376.91,731.65,53.04,784.69
INV200087,West-1,Los Angeles,Member,Female,Clothing,45.73,17,0.0,9.3,0.0,777.41,56.36,833.77
INV200088,West-2,San Diego,Member,Male,Electronics,291.49,15,0.11,9.1,480.96,3891.39,282.13,4173.52
INV200089,West-1,San Jose,Member,Female,Cosmetics,105.73,14,0.21,2.4,310.85,1169.37,84.78,1254.15
INV200090,West-1,Sacramento,Normal,Male,Clothing,439.02,3,0.27,8.5,355.61,961.45,69.71,1031.16
INV200091,West-1,San Diego,Normal,Female,Clothing,146.35,17,0.29,3.7,721.51,1766.44,128.07,1894.51
INV200092,West-1,Fresno,Member,Male,Cosmetics,208.77,3,0.02,5.9,12.53,613.78,44.5,658.28
INV200093,West-3,Sacramento,Member,Male,Home Appliances,342.63,13,0.25,1.0,1113.55,3340.64,242.2,3582.84
INV200094,West-1,San Diego,Normal,Female,Home Appliances,174.56,18,0.25,10.0,785.52,2356.56,170.85,2527.41
INV200095,West-1,Fresno,Normal,Male,Clothing,229.9,1,0.07,7.8,16.09,213.81,15.5,229.31
INV200096,West-1,Fresno,Member,Female,Home Appliances,490.29,7,0.04,3.2,137.28,3294.75,238.87,3533.62
INV200097,West-3,Santa Ana,Normal,Male,Home Appliances,111.63,5,0.26,7.2,145.12,413.03,29.94,442.97
INV200098,West-1,San Francisco,Member,Female,Home Appliances,53.91,2,0.09,3.6,9.7,98.12,7.11,105.23
INV200099,West-1,Los Angeles,Member,Female,Electronics,200.37,17,0.0,1.8,0.0,3406.29,246.96,3653.25
INV200100,West-3,San Jose,Normal,Female,Food,257.5,10,0.08,4.8,206.0,2369.0,171.75,2540.75
INV200101,West-3,Oakland,Normal,Female,Clothing,327.88,4,0.01,6.5,13.12,1298.4,94.13,1392.53
INV200102,West-3,Irvine,Normal,Male,Clothing,226.59,9,0.09,1.8,183.54,1855.77,134.54,1990.31
INV200103,West-1,San Diego,Member,Female,Electronics,475.0,11,0.12,5.7,627.0,4598.0,333.35,4931.35
INV200104,West-3,San Diego,Normal,Female,Food,28.4,12,0.09,5.6,30.67,310.13,22.48,332.61
INV200105,West-3,Sacramento,Normal,Female,Food,261.9,12,0.32,6.7,1005.7,2137.1,154.94,2292.04
INV200106,West-1,Sacramento,Member,Female,Electronics,232.44,18,0.08,3.2,334.71,3849.21,279.07,4128.28
INV200107,West-3,Irvine,Member,Female,Cosmetics,390.31,4,0.16,1.2,249.8,1311.44,95.08,1406.52
INV200108,West-1,San Diego,Normal,Male,Cosmetics,579.93,9,0.34,3.9,1774.59,3444.78,249.75,3694.53
INV200109,West-2,Anaheim,Member,Female,Food,308.67,8,0.31,4.6,765.5,1703.86,123.53,1827.39
INV200110,West-3,San Jose,Member,Male,Cosmetics,592.19,19,0.11,6.7,1237.68,10013.93,726.01,10739.94
INV200111,West-2,San Diego,Member,Male,Cosmetics,184.84,13,0.11,9.4,264.32,2138.6,155.05,2293.65
INV200112,West-1,San Francisco,Normal,Female,Cosmetics,23.37,2,0.21,2.8,9.82,36.92,2.68,39.6
INV200113,West-3,Irvine,Normal,Female,Food,103.57,19,0.32,7.2,629.71,1338.12,97.01,1435.13
INV200114,West-1,Anaheim,Member,Male,Cosmetics,240.1,14,0.0,1.9,0.0,3361.4,243.7,3605.1
INV200115,West-2,San Jose,Member,Male,Clothing,193.22,5,0.14,2.7,135.25,830.85,60.24,891.09
INV200116,West-1,San Diego,Member,Male,Food,62.75,10,0.3,5.6,188.25,439.25,31.85,471.1
INV200117,West-3,Oakland,Normal,Female,Electronics,262.43,17,0.14,7.4,624.58,3836.73,278.16,4114.89
INV200118,West-3,Santa Ana,Member,Male,Cosmetics,206.18,16,0.25,8.7,824.72,2474.16,179.38,2653.54
INV200119,West-2,San Francisco,Member,Male,Home Appliances,77.96,17,0.24,7.7,318.08,1007.24,73.02,1080.26
INV200120,West-1,Oakland,Normal,Female,Food,181.19,1,0.07,1.1,12.68,168.51,12.22,180.73
INV200121,West-3,Sacramento,Member,Male,Electronics,532.43,15,0.16,7.2,1277.83,6708.62,486.37,7194.99
INV200122,West-2,Sacramento,Normal,Female,Clothing,184.72,17,0.2,8.4,628.05,2512.19,182.13,2694.32
INV200123,West-3,San Diego,Normal,Male,Electronics,429.8,11,0.25,5.7,1181.95,3545.85,257.07,3802.92
INV200124,West-3,Sacramento,Normal,Female,Cosmetics,369.17,5,0.29,9.7,535.3,1310.55,95.01,1405.56
INV200125,West-1,San Francisco,Member,Male,Home Appliances,259.17,4,0.27,1.0,279.9,756.78,54.87,811.65
INV200126,West-3,San Jose,Member,Female,Cosmetics,147.22,9,0.01,8.4,13.25,1311.73,95.1,1406.83
INV200127,West-1,Fresno,Normal,Female,Electronics,224.56,16,0.23,4.0,826.38,2766.58,200.58,2967.16
INV200128,West-3,Los Angeles,Member,Male,Food,357.3,12,0.17,6.9,728.89,3558.71,258.01,3816.72
INV200129,West-2,Irvine,Normal,Female,Home Appliances,213.7,18,0.2,7.2,769.32,3077.28,223.1,3300.38
INV200130,West-3,San Jose,Member,Male,Home Appliances,132.86,3,0.13,3.8,51.82,346.76,25.14,371.9
INV200131,West-1,Fresno,Normal,Female,Electronics,74.3,15,0.25,10.0,278.62,835.88,60.6,896.48
INV200132,West-1,Anaheim,Normal,Female,Cosmetics,528.46,18,0.24,1.9,2282.95,7229.33,524.13,7753.46
INV200133,West-2,San Francisco,Member,Female,Electronics,266.99,12,0.2,2.4,640.78,2563.1,185.82,2748.92
INV200134,West-3,Oakland,Member,Female,Home Appliances,377.0,13,0.3,9.0,1470.3,3430.7,248.73,3679.43
INV200135,West-3,Fresno,Member,Female,Electronics,296.79,1,0.04,2.1,11.87,284.92,20.66,305.58
INV200136,West-2,San Francisco,Member,Female,Home Appliances,524.18,4,0.11,4.4,230.64,1866.08,135.29,2001.37
INV200137,West-3,Santa Ana,Normal,Female,Cosmetics,330.43,8,0.17,7.6,449.38,2194.06,159.07,2353.13
INV200138,West-3,Oakland,Normal,Male,Food,291.06,19,0.34,8.1,1880.25,3649.89,264.62,3914.51
INV200139,West-1,Sacramento,Member,Male,Food,555.14,5,0.03,9.6,83.27,2692.43,195.2,2887.63
INV200140,West-3,Sacramento,Member,Female,Electronics,433.22,11,0.12,8.1,571.85,4193.57,304.03,4497.6
INV200141,West-3,Oakland,Normal,Female,Home Appliances,71.37,17,0.32,8.6,388.25,825.04,59.82,884.86
INV200142,West-2,Anaheim,Member,Female,Food,110.73,17,0.31,9.5,583.55,1298.86,94.17,1393.03
INV200143,West-2,Anaheim,Member,Male,Home Appliances,473.34,2,0.3,6.0,284.0,662.68,48.04,710.72
INV200144,West-1,Anaheim,Member,Female,Cosmetics,502.33,1,0.11,4.1,55.26,447.07,32.41,479.48
INV200145,West-3,Fresno,Member,Male,Electronics,329.39,4,0.3,7.9,395.27,922.29,66.87,989.16
INV200146,West-3,Irvine,Normal,Female,Home Appliances,334.9,9,0.18,2.5,542.54,2471.56,179.19,2650.75
INV200147,West-3,Fresno,Normal,Female,Electronics,381.0,2,0.22,1.6,167.64,594.36,43.09,637.45
INV200148,West-1,San Diego,Member,Female,Home Appliances,266.27,3,0.08,8.1,63.9,734.91,53.28,788.19
INV200149,West-1,Los Angeles,Normal,Female,Home Appliances,409.72,6,0.25,9.6,614.58,1843.74,133.67,1977.41
INV200150,West-2,Oakland,Member,Female,Cosmetics,69.55,13,0.11,5.0,99.46,804.69,58.34,863.03
INV200151,West-1,San Jose,Member,Male,Electronics,576.96,15,0.12,2.5,1038.53,7615.87,552.15,8168.02
INV200152,West-3,Los Angeles,Member,Female,Clothing,451.34,11,0.22,5.5,1092.24,3872.5,280.76,4153.26
INV200153,West-3,Santa Ana,Normal,Male,Home Appliances,380.55,10,0.08,4.5,304.44,3501.06,253.83,3754.89
INV200154,West-1,Fresno,Normal,Male,Home Appliances,193.21,3,0.08,4.4,46.37,533.26,38.66,571.92
INV200155,West-3,Fresno,Normal,Female,Food,100.77,9,0.13,6.7,117.9,789.03,57.2,846.23
INV200156,West-3,San Francisco,Normal,Female,Electronics,248.56,10,0.27,2.6,671.11,1814.49,131.55,1946.04
INV200157,West-1,Los Angeles,Normal,Female,Clothing,398.64,12,0.08,4.4,382.69,4400.99,319.07,4720.06
INV200158,West-1,San Francisco,Member,Male,Cosmetics,382.06,8,0.28,8.8,855.81,2200.67,159.55,2360.22
INV200159,West-3,San Jose,Member,Male,Clothing,232.67,17,0.24,7.6,949.29,3006.1,217.94,3224.04
INV200160,West-3,San Francisco,Normal,Male,Cosmetics,369.91,5,0.24,1.5,443.89,1405.66,101.91,1507.57
INV200161,West-3,Los Angeles,Normal,Female,Clothing,489.18,8,0.17,5.6,665.28,3248.16,235.49,3483.65
INV200162,West-2,Oakland,Normal,Male,Clothing,20.64,18,0.26,1.8,96.6,274.92,19.93,294.85
INV200163,West-2,Santa Ana,Member,Male,Electronics,273.12,11,0.0,9.6,0.0,3004.32,217.81,3222.13
INV200164,West-2,Fresno,Normal,Male,Food,456.34,10,0.11,3.2,501.97,4061.43,294.45,4355.88
INV200165,West-1,San Jose,Member,Female,Clothing,329.96,15,0.24,9.4,1187.86,3761.54,272.71,4034.25
INV200166,West-2,Fresno,Member,Male,Home Appliances,392.63,6,0.35,8.5,824.52,1531.26,111.02,1642.28
INV200167,West-1,San Diego,Normal,Male,Home Appliances,312.42,19,0.0,6.0,0.0,5935.98,430.36,6366.34
INV200168,West-1,Santa Ana,Member,Female,Home Appliances,595.17,17,0.18,4.0,1821.22,8296.67,601.51,8898.18
INV200169,West-2,Irvine,Member,Female,Food,37.5,10,0.32,8.7,120.0,255.0,18.49,273.49
INV200170,West-2,San Francisco,Normal,Female,Clothing,297.17,5,0.3,2.4,445.76,1040.09,75.41,1115.5
INV200171,West-2,Sacramento,Member,Male,Cosmetics,59.39,16,0.01,2.6,9.5,940.74,68.2,1008.94
INV200172,West-3,Los Angeles,Normal,Male,Cosmetics,100.07,12,0.19,3.0,228.16,972.68,70.52,1043.2
INV200173,West-2,Fresno,Member,Male,Electronics,232.91,5,0.0,6.4,0.0,1164.55,84.43,1248.98
INV200174,West-3,San Francisco,Normal,Female,Food,97.55,1,0.28,3.8,27.31,70.24,5.09,75.33
INV200175,West-1,San Jose,Normal,Male,Clothing,578.39,2,0.11,9.9,127.25,1029.53,74.64,1104.17
INV200176,West-3,Fresno,Member,Female,Home Appliances,568.34,5,0.27,2.8,767.26,2074.44,150.4,2224.84
INV200177,West-2,Irvine,Normal,Female,Food,204.99,19,0.33,8.3,1285.29,2609.52,189.19,2798.71
INV200178,West-1,Santa Ana,Member,Male,Food,385.65,15,0.34,1.9,1966.82,3817.93,276.8,4094.73
INV200179,West-1,Santa Ana,Member,Male,Clothing,322.58,1,0.31,4.2,100.0,222.58,16.14,238.72
INV200180,West-1,Fresno,Normal,Male,Electronics,490.27,11,0.07,3.2,377.51,5015.46,363.62,5379.08
INV200181,West-3,San Jose,Member,Female,Electronics,378.33,18,0.07,9.8,476.7,6333.24,459.16,6792.4
INV200182,West-2,Santa Ana,Normal,Female,Electronics,5.15,3,0.22,1.2,3.4,12.05,0.87,12.92
INV200183,West-1,Santa Ana,Member,Male,Home Appliances,459.09,9,0.19,7.5,785.04,3346.77,242.64,3589.41
INV200184,West-1,Irvine,Member,Female,Home Appliances,449.37,4,0.0,3.2,0.0,1797.48,130.32,1927.8
INV200185,West-1,Los Angeles,Normal,Male,Clothing,308.29,13,0.14,8.3,561.09,3446.68,249.88,3696.56
INV200186,West-3,San Jose,Member,Male,Electronics,542.24,9,0.32,3.8,1561.65,3318.51,240.59,3559.1
INV200187,West-3,San Jose,Member,Male,Clothing,545.53,3,0.31,2.7,507.34,1129.25,81.87,1211.12
INV200188,West-2,Oakland,Member,Female,Electronics,316.73,16,0.07,7.2,354.74,4712.94,341.69,5054.63
INV200189,West-3,Oakland,Member,Female,Food,366.75,8,0.13,3.3,381.42,2552.58,185.06,2737.64
INV200190,West-1,Santa Ana,Member,Male,Cosmetics,597.93,7,0.2,5.4,837.1,3348.41,242.76,3591.17
INV200191,West-2,Sacramento,Member,Male,Cosmetics,182.8,17,0.3,2.2,932.28,2175.32,157.71,2333.03
INV200192,West-1,Oakland,Member,Female,Electronics,198.15,16,0.19,7.5,602.38,2568.02,186.18,2754.2
INV200193,West-1,Santa Ana,Member,Male,Clothing,113.75,18,0.34,4.7,696.15,1351.35,97.97,1449.32
INV200194,West-3,Anaheim,Normal,Female,Home Appliances,538.04,16,0.28,2.3,2410.42,6198.22,449.37,6647.59
INV200195,West-2,San Diego,Member,Male,Electronics,447.97,15,0.33,7.7,2217.45,4502.1,326.4,4828.5
INV200196,West-3,San Diego,Member,Female,Electronics,67.86,2,0.26,1.9,35.29,100.43,7.28,107.71
INV200197,West-3,San Jose,Normal,Male,Home Appliances,589.15,4,0.31,6.2,730.55,1626.05,117.89,1743.94
INV200198,West-2,Sacramento,Normal,Female,Electronics,439.92,5,0.29,6.5,637.88,1561.72,113.22,1674.94
INV200199,West-1,Irvine,Normal,Male,Food,511.06,7,0.09,9.4,321.97,3255.45,236.02,3491.47
INV200200,West-1,Los Angeles,Member,Female,Home Appliances,33.65,15,0.08,2.4,40.38,464.37,33.67,498.04
INV200201,West-2,Oakland,Normal,Female,Food,305.45,17,0.3,6.9,1557.79,3634.86,263.53,3898.39
INV200202,West-1,Anaheim,Normal,Female,Cosmetics,420.67,10,0.03,4.4,126.2,4080.5,295.84,4376.34
INV200203,West-2,Santa Ana,Member,Female,Home Appliances,328.05,9,0.14,4.6,413.34,2539.11,184.09,2723.2
INV200204,West-2,Sacramento,Member,Male,Home Appliances,401.66,16,0.29,5.5,1863.7,4562.86,330.81,4893.67
INV200205,West-3,San Jose,Normal,Female,Clothing,491.64,3,0.28,3.1,412.98,1061.94,76.99,1138.93
INV200206,West-2,Oakland,Normal,Female,Clothing,227.73,9,0.05,5.2,102.48,1947.09,141.16,2088.25
INV200207,West-3,Sacramento,Member,Male,Home Appliances,509.96,8,0.17,7.2,693.55,3386.13,245.49,3631.62
INV200208,West-1,Oakland,Member,Female,Cosmetics,101.94,7,0.17,5.1,121.31,592.27,42.94,635.21
INV200209,West-1,Los Angeles,Member,Male,Electronics,166.18,17,0.11,1.4,310.76,2514.3,182.29,2696.59
INV200210,West-1,Los Angeles,Member,Female,Clothing,30.79,5,0.32,3.3,49.26,104.69,7.59,112.28
INV200211,West-1,Irvine,Member,Female,Cosmetics,221.83,7,0.23,4.2,357.15,1195.66,86.69,1282.35
INV200212,West-3,San Diego,Normal,Female,Cosmetics,231.05,13,0.34,4.2,1021.24,1982.41,143.72,2126.13
INV200213,West-1,San Francisco,Member,Female,Clothing,484.14,18,0.02,1.7,174.29,8540.23,619.17,9159.4
INV200214,West-2,San Francisco,Member,Female,Electronics,393.61,14,0.14,5.0,771.48,4739.06,343.58,5082.64
INV200215,West-2,Oakland,Member,Female,Clothing,264.85,18,0.29,7.2,1382.52,3384.78,245.4,3630.18
INV200216,West-2,Irvine,Member,Male,Cosmetics,393.01,3,0.15,1.4,176.85,1002.18,72.66,1074.84
INV200217,West-3,San Francisco,Member,Male,Food,36.41,17,0.09,7.8,55.71,563.26,40.84,604.1
INV200218,West-1,San Jose,Normal,Female,Clothing,112.26,19,0.35,9.6,746.53,1386.41,100.51,1486.92
INV200219,West-1,San Francisco,Member,Female,Cosmetics,378.03,7,0.31,1.1,820.33,1825.88,132.38,1958.26
INV200220,West-1,Fresno,Normal,Male,Clothing,386.61,4,0.19,2.7,293.82,1252.62,90.81,1343.43
INV200221,West-3,Santa Ana,Member,Male,Cosmetics,465.61,15,0.2,5.9,1396.83,5587.32,405.08,5992.4
INV200222,West-2,Irvine,Normal,Female,Electronics,244.78,8,0.0,3.0,0.0,1958.24,141.97,2100.21
INV200223,West-2,San Jose,Normal,Female,Cosmetics,434.92,16,0.34,7.9,2365.96,4592.76,332.98,4925.74
INV200224,West-1,Sacramento,Member,Female,Home Appliances,411.97,1,0.28,3.8,115.35,296.62,21.5,318.12
INV200225,West-2,San Jose,Member,Female,Food,578.22,16,0.01,3.6,92.52,9159.0,664.03,9823.03
INV200226,West-2,San Diego,Member,Female,Cosmetics,133.0,2,0.06,1.0,15.96,250.04,18.13,268.17
INV200227,West-3,Sacramento,Member,Female,Clothing,333.25,2,0.29,3.4,193.28,473.22,34.31,507.53
INV200228,West-3,Anaheim,Member,Male,Clothing,363.05,8,0.03,3.0,87.13,2817.27,204.25,3021.52
INV200229,West-3,Santa Ana,Normal,Female,Cosmetics,599.2,12,0.33,4.1,2372.83,4817.57,349.27,5166.84
INV200230,West-3,Santa Ana,Member,Female,Home Appliances,124.7,11,0.35,2.3,480.1,891.6,64.64,956.24
INV200231,West-1,Santa Ana,Member,Male,Cosmetics,316.31,6,0.31,6.4,588.34,1309.52,94.94,1404.46
INV200232,West-3,Santa Ana,Normal,Male,Electronics,210.98,19,0.26,3.1,1042.24,2966.38,215.06,3181.44
INV200233,West-2,Oakland,Member,Male,Home Appliances,317.91,18,0.17,8.5,972.8,4749.58,344.34,5093.92
INV200234,West-1,Santa Ana,Normal,Male,Cosmetics,143.12,5,0.03,3.6,21.47,694.13,50.32,744.45
INV200235,West-2,Santa Ana,Member,Female,Food,33.33,15,0.26,2.9,129.99,369.96,26.82,396.78
INV200236,West-2,Santa Ana,Normal,Male,Home Appliances,345.68,8,0.14,1.5,387.16,2378.28,172.43,2550.71
INV200237,West-2,Irvine,Member,Male,Cosmetics,204.83,6,0.2,7.7,245.8,983.18,71.28,1054.46
