customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,payment_method,paperless_billing,churn
46,8,103.98,5669.71,1,2,0,1,2,1,1
47,47,119.72,7846.83,1,0,0,1,2,0,0
48,35,49.26,410.94,1,0,0,1,0,1,0
49,36,55.78,4579.2,0,1,1,1,1,0,1
50,50,114.16,5906.13,2,2,0,0,1,0,0
51,4,91.11,2101.53,1,2,1,0,0,1,1
52,2,49.56,1878.46,0,2,1,1,2,0,1
53,6,78.1,576.73,2,1,1,0,1,0,0
54,54,114.42,841.97,1,0,1,1,1,1,0
55,4,101.18,5288.32,2,2,0,0,1,0,1
56,54,94.18,4091.16,2,2,1,0,3,1,0
57,63,93.7,337.57,0,0,1,0,3,1,1
58,18,37.8,7760.33,0,2,1,0,2,0,0
59,44,102.47,5282.76,0,1,0,1,1,1,1
60,34,47.61,4172.2,2,2,0,0,2,1,0
61,62,113.04,2254.52,1,0,1,0,3,0,1
62,14,56.46,5298.98,1,1,1,1,3,1,0
63,48,105.77,2976.93,1,2,0,1,1,0,0
64,15,46.62,5649.7,0,0,1,0,2,1,0
65,62,71.45,5492.32,1,0,0,0,0,0,0
66,40,30.69,832.68,1,0,1,1,2,0,0
67,53,86.01,7283.16,0,0,1,0,0,1,1
68,24,103.61,3947.1,1,2,0,0,1,1,0
69,26,91.84,3204.27,1,2,0,1,3,0,0
70,60,72.33,7648.15,1,1,1,0,1,0,0
71,41,24.51,3561.85,2,1,0,1,3,0,0
72,29,113.34,5797.65,2,0,1,1,1,0,0
73,15,90.55,5275.58,0,0,0,0,0,1,1
74,45,94.59,1404.61,0,1,0,1,1,1,0
75,65,99.47,7930.03,2,2,0,0,2,0,1
76,71,94.77,3762.47,0,2,1,0,2,1,1
77,9,64.11,3218.78,0,2,1,0,0,1,1
78,1,93.36,7364.95,1,0,1,0,2,0,1
79,8,82.5,4280.98,0,1,0,0,0,0,1
80,63,105.4,5670.11,0,1,1,1,0,0,0
81,11,100.25,6785.34,1,1,0,1,3,1,1
82,8,24.14,1960.41,1,2,0,1,3,1,1
83,35,57.89,1438.79,2,1,0,0,1,1,0
84,35,23.47,641.2,0,1,0,1,3,0,1
85,33,30.21,7187.35,1,2,1,0,0,1,0
86,5,80.14,1682.9,0,0,1,0,3,1,1
87,41,107.38,2531.26,0,0,1,1,2,0,1
88,28,31.98,2357.87,2,2,0,1,2,0,0
89,7,65.11,2506.25,2,1,1,1,1,1,1
90,12,111.09,5377.68,2,0,0,0,0,1,1
91,34,101.43,7637.5,2,0,1,0,1,1,1
92,33,71.97,2702.68,2,0,1,1,1,1,0
93,48,97.16,3320.41,1,2,1,1,3,0,1
94,23,72.27,6192.06,2,0,1,0,1,1,0
95,62,35.81,3515.47,1,1,1,1,3,0,0
96,37,32.47,7415.74,2,2,1,0,3,0,0
97,44,38.84,4075.42,1,2,0,0,1,0,0
98,35,55.09,2847.11,0,0,0,0,1,1,0
99,65,113.05,7775.42,2,1,0,0,0,0,1
100,47,99.97,3463.68,1,2,1,0,3,1,0
101,3,63.28,1926.28,2,0,0,1,2,1,0
102,1,69.31,1503.84,1,1,1,1,0,1,1
103,5,46.56,7961.93,1,1,0,1,3,1,0
104,14,90.44,6048.6,2,2,1,0,3,1,0
105,27,100.28,3328.41,1,0,1,1,3,0,1
106,9,43.89,6628.27,0,1,0,1,3,1,1
107,15,24.18,4419.77,2,2,1,1,3,1,0
108,42,82.39,2607.38,0,2,1,0,0,1,0
109,51,76.25,5972.75,1,2,0,1,3,1,1
110,63,60.21,5992.57,1,2,0,1,1,0,1
111,52,84.39,4051.34,2,2,0,0,2,1,0
112,4,75.06,456.75,0,1,0,1,0,0,1
113,23,45.06,708.48,0,2,0,1,0,1,0
114,15,59.77,6331.12,2,0,1,0,2,0,0
115,43,62.81,6605.46,0,0,1,1,0,0,0
116,29,108.02,5458.49,2,1,0,0,3,0,0
117,36,116.09,6728.64,2,2,1,1,3,1,0
118,13,109.3,5783.95,1,2,0,0,2,0,0
119,32,91.92,7185.78,1,1,1,0,0,1,0
120,71,78.5,1288.15,0,2,1,0,1,0,0
121,59,88.93,3163.16,2,2,1,0,2,1,0
122,28,113.91,3766.48,2,0,0,1,0,0,0
123,66,45.0,2451.54,2,2,1,0,0,1,0
124,42,73.51,5830.39,2,1,0,0,2,0,0
125,45,88.96,7308.27,1,0,0,1,3,0,0
126,62,87.92,3358.61,0,1,0,1,2,0,1
127,57,45.23,7538.18,1,1,1,1,2,1,0
128,6,78.67,4182.47,2,2,1,0,2,0,0
129,28,99.59,4227.87,0,2,1,1,2,0,1
130,28,67.51,4841.73,0,0,0,0,2,1,1
131,44,99.33,2219.82,2,1,0,1,3,1,1
132,30,55.99,3128.55,2,1,0,1,1,1,0
133,62,113.88,4470.58,1,2,0,1,3,0,0
134,62,73.39,7541.66,1,1,0,0,1,0,0
135,1,79.59,5177.27,2,1,0,0,3,1,1
136,27,23.14,2731.62,2,1,1,0,2,0,0
137,62,37.03,182.7,1,1,0,0,0,1,1
138,3,83.29,7855.16,0,1,1,0,1,0,1
139,70,61.99,3994.58,0,0,0,0,1,1,0
140,27,70.82,7514.11,0,1,0,0,0,1,1
141,9,26.3,4439.83,1,1,1,0,1,0,1
142,62,103.41,4883.17,2,0,1,0,3,1,0
143,37,98.45,5724.11,0,2,1,0,1,1,0
144,51,38.54,2635.71,2,2,1,0,3,1,0
145,44,83.43,5621.97,1,0,1,0,2,1,1
146,24,101.83,4261.66,1,0,1,1,1,1,0
147,59,84.09,5412.59,2,2,1,1,1,1,0
148,32,51.04,6703.08,2,1,0,1,1,0,0
149,52,85.61,1555.41,2,1,0,1,3,0,0
150,62,41.05,4947.05,2,0,0,0,2,0,0
151,58,51.83,511.68,0,1,0,1,0,0,1
152,52,44.01,906.71,2,0,1,1,0,0,0
153,12,75.69,5429.29,0,2,1,0,0,1,0
154,39,30.82,660.41,1,1,0,0,3,1,0
155,2,113.33,4803.33,0,2,1,1,0,1,1
156,3,53.35,1838.1,2,1,0,1,1,1,0
157,56,41.9,2502.27,0,1,1,0,2,1,1
158,59,69.65,1124.13,1,1,0,1,2,0,1
159,2,47.7,2064.47,2,0,0,0,3,0,1
160,2,73.49,6588.21,1,2,0,1,1,0,0
161,54,54.85,5147.14,1,0,1,0,0,1,0
162,1,33.21,7603.1,2,0,0,0,2,1,0
163,19,46.59,485.08,0,2,0,1,1,1,0
164,2,63.84,6360.05,1,2,0,1,1,0,1
165,53,23.03,5622.71,2,0,1,1,3,0,0
166,44,97.06,2161.05,1,0,0,0,3,0,0
167,32,82.18,5860.42,0,0,1,1,1,0,1
168,70,80.14,5760.73,1,2,1,0,3,0,0
169,32,74.6,3728.83,1,0,0,0,1,0,0
170,68,79.03,5540.25,1,2,1,1,3,0,0
171,55,113.47,3612.19,1,0,1,1,2,1,1
172,56,20.86,2750.81,0,2,1,0,3,0,0
173,17,24.78,3785.28,2,0,1,1,1,0,0
174,38,39.15,7171.52,1,1,0,0,2,0,0
175,24,36.73,3138.21,0,1,1,0,1,1,0
176,69,38.12,3289.14,1,2,0,1,1,1,0
177,70,87.19,4906.39,1,2,1,0,3,1,0
178,11,65.95,6048.7,1,1,1,0,2,0,0
179,16,119.18,5903.5,0,2,0,1,1,0,1
180,59,42.69,256.41,1,2,1,0,0,1,0
181,70,51.08,5530.58,1,1,1,0,3,0,0
182,3,118.42,3659.38,2,0,0,0,2,0,1
183,20,103.18,4240.31,0,2,1,1,2,1,1
184,59,66.98,4537.14,2,2,0,1,1,0,0
185,36,75.46,5880.58,2,0,0,0,2,1,0
186,19,104.32,6667.53,2,0,1,1,2,0,0
187,67,68.1,5205.46,2,2,0,1,0,0,0
188,19,40.6,4554.87,1,2,1,1,2,0,0
189,20,102.84,3052.78,2,0,1,1,0,0,0
190,71,73.78,1189.24,0,2,0,0,3,0,0
191,52,35.3,7672.76,1,0,1,1,3,1,0
192,33,70.56,3748.55,2,0,0,1,3,1,0
193,40,61.32,4573.08,2,2,1,0,2,0,0
194,39,107.68,6033.48,0,2,0,0,3,0,1
195,1,32.61,640.44,0,0,0,1,0,1,1
196,11,107.52,6854.59,2,2,0,0,2,0,1
197,57,71.22,6396.5,2,0,0,1,2,0,0
198,50,60.44,6217.99,2,1,0,0,0,1,0
199,23,36.2,273.66,2,1,0,0,0,0,0
200,31,90.08,4259.5,2,0,1,1,0,0,0
201,42,112.68,528.72,0,0,1,1,3,1,1
202,7,57.54,4451.89,0,2,1,1,2,0,1
203,16,44.16,5775.74,1,0,1,0,1,0,0
204,60,75.49,1062.62,1,0,0,1,1,0,0
205,2,99.62,5589.58,0,2,0,0,2,1,1
206,1,20.38,3651.31,1,2,0,0,2,1,1
207,48,83.14,6511.27,2,1,0,0,0,0,0
208,12,79.65,4315.35,1,0,1,1,3,1,0
209,69,51.82,2755.36,2,0,0,0,0,0,0
210,37,65.14,2722.73,2,1,0,1,0,1,0
211,32,44.7,7190.14,1,0,0,0,1,0,0
212,9,98.99,3677.69,1,2,1,0,3,0,1
213,19,83.45,3305.46,2,0,1,0,2,1,0
214,48,73.27,415.0,0,2,1,0,2,0,0
215,3,59.25,2978.16,1,0,1,0,1,0,0
216,20,49.14,6812.05,1,1,0,1,0,0,0
217,24,102.27,6111.8,0,2,1,0,3,1,0
218,54,65.14,1845.21,1,2,1,1,0,1,0
219,33,70.14,3363.15,2,1,0,1,3,0,0
220,24,72.08,1652.98,0,2,1,1,0,1,0
221,36,64.84,7638.31,0,1,1,0,3,0,1
222,38,45.61,4825.13,2,0,0,1,0,0,0
223,25,32.03,6059.4,2,1,1,0,1,0,0
224,18,29.85,5739.09,2,0,1,0,3,0,0
225,66,95.75,7002.15,0,2,1,1,0,0,1
226,54,42.35,7599.69,2,2,1,0,3,0,0
227,35,25.57,356.32,1,1,0,0,0,1,0
228,61,99.75,7804.88,1,0,0,0,1,1,1
229,41,35.41,6977.29,2,1,1,0,3,0,0
230,33,82.51,3125.28,1,2,0,0,0,1,0
231,68,53.86,6712.85,1,2,0,1,1,1,0
232,33,32.65,5918.81,0,0,1,1,0,0,1
233,14,61.45,6365.6,2,0,1,0,2,0,0
234,21,21.48,1843.46,1,2,0,0,0,0,0
235,48,104.1,5223.65,2,2,0,1,2,0,0
236,20,71.35,304.81,2,0,1,1,1,0,0
237,8,33.92,6801.01,1,1,0,1,0,0,1
238,7,43.7,7613.24,1,1,0,0,3,1,1
239,67,64.8,5330.78,0,0,1,1,3,1,0
240,17,38.89,4150.09,0,0,1,1,3,1,0
241,33,46.86,5833.28,0,0,1,1,3,1,0
242,48,73.44,2678.25,1,2,1,0,0,0,0
243,59,103.26,5048.46,0,1,0,1,0,0,1
244,22,60.18,5779.89,2,0,1,0,2,1,0
245,30,91.7,1227.18,0,1,0,0,0,0,1
246,38,107.67,1206.54,0,2,0,0,1,0,1
247,51,41.63,5757.49,0,2,1,0,3,0,0
248,54,100.72,3511.08,2,0,0,0,0,0,1
249,8,95.74,7124.69,2,0,1,1,1,0,1
250,27,55.69,2564.32,1,0,1,0,2,0,0
251,27,118.95,435.2,0,0,0,0,1,1,1
252,21,46.26,5234.02,2,1,0,1,2,1,0
253,30,45.48,5505.49,2,0,0,1,3,1,1
254,28,97.23,4473.37,2,1,1,0,2,0,0
255,64,63.47,5498.33,1,2,1,1,2,1,0
256,69,53.08,4237.66,1,2,1,1,1,0,0
257,61,37.87,5571.8,1,1,0,0,3,1,0
258,48,96.53,447.11,0,1,1,0,1,1,0
259,19,98.63,3010.34,2,0,1,1,3,1,0
260,4,76.66,1765.45,1,0,0,1,1,1,0
261,35,115.73,884.68,1,0,0,0,0,1,0
262,64,51.82,1949.33,2,2,1,1,1,1,0
263,49,41.96,1611.35,2,1,1,1,2,1,0
264,17,87.75,7787.74,0,1,1,0,1,0,1
265,44,95.84,2363.71,0,1,0,0,2,0,1
266,30,42.49,1924.58,0,1,1,0,1,0,0
267,46,27.66,6695.51,1,0,1,1,1,0,0
268,6,101.05,3411.02,1,0,0,1,2,0,1
269,37,117.65,3429.58,2,1,1,0,3,1,1
270,24,84.47,3604.36,0,0,1,1,1,1,1
271,46,47.79,3390.62,2,2,1,1,0,0,0
272,53,119.67,2679.87,0,0,0,0,0,1,1
273,60,109.33,2362.08,0,2,0,1,2,0,0
274,63,71.34,7067.48,0,2,0,0,2,0,1
275,32,102.53,1377.49,0,1,0,0,2,0,1
276,33,101.58,1530.39,2,1,1,1,0,1,0
277,67,113.48,4616.58,2,0,0,1,2,0,0
278,18,104.09,2814.9,1,1,0,1,2,1,0
279,25,84.37,3430.08,0,2,0,0,3,0,0
280,54,80.93,6471.72,2,2,0,0,0,0,0
281,58,66.74,7238.69,0,0,1,1,3,1,0
282,67,82.65,6345.37,0,2,0,0,3,1,1
283,46,99.52,1955.93,1,1,1,1,2,1,1
284,24,116.9,7841.77,1,0,0,1,3,0,0
285,32,66.73,2969.09,2,0,1,1,1,0,0
286,47,77.37,1435.63,2,0,0,1,1,1,0
287,23,64.48,4046.02,1,1,0,0,1,1,0
288,66,86.85,5829.76,2,2,0,1,3,1,0
289,27,82.99,757.84,2,1,1,0,1,0,0
290,2,21.78,5110.87,1,0,0,1,0,1,1
291,17,74.12,6878.82,0,2,1,0,1,1,0
292,33,28.85,2168.07,0,0,1,1,1,0,0
293,9,22.64,5575.67,1,1,1,0,3,1,1
294,43,99.12,3259.28,0,0,0,0,0,0,0
295,48,45.86,3371.67,0,1,0,1,3,1,0
296,39,54.07,2318.43,1,0,0,1,0,0,0
297,42,26.41,5032.71,2,0,0,0,0,0,0
298,26,37.95,2951.89,1,0,0,1,3,0,0
299,50,96.56,6664.13,1,1,1,0,1,0,0
300,25,69.35,7706.95,0,1,0,0,2,0,0
301,24,108.07,7487.19,1,1,0,0,2,1,1
302,13,59.72,1388.71,0,1,0,1,1,1,1
303,60,46.87,212.1,1,1,1,0,2,1,0
304,7,54.76,3563.9,2,2,0,0,2,0,1
305,57,91.28,5858.18,0,0,0,0,0,1,1
306,36,75.5,7821.9,1,1,0,1,3,1,0
307,45,110.42,6289.04,0,2,0,0,3,0,1
308,20,80.22,4686.34,1,2,1,1,1,1,1
309,65,69.3,308.19,1,0,1,0,1,1,0
310,8,98.58,6621.77,1,0,0,1,3,0,1
311,16,114.75,1499.45,0,0,1,0,2,1,1
312,14,55.58,539.29,0,1,1,1,1,0,0
313,15,44.99,6817.83,2,0,1,1,0,0,0
314,66,81.62,4573.38,2,0,0,1,3,0,1
315,32,69.89,1115.56,2,0,1,1,2,0,0
316,63,118.92,3153.69,2,2,0,1,0,0,0
317,51,66.24,775.78,1,1,0,1,3,1,0
318,25,27.43,5140.29,0,0,1,0,3,0,1
319,58,117.74,2331.18,1,2,1,1,2,1,1
320,63,104.36,6942.14,0,1,1,0,1,0,1
321,62,37.83,2926.59,0,0,0,0,0,1,0
322,22,110.46,4007.61,1,2,1,1,0,0,0
323,58,54.07,601.83,1,1,0,0,0,0,0
324,58,57.71,2277.18,0,0,1,1,3,0,0
325,49,110.64,5446.46,2,0,1,0,2,0,0
326,52,73.01,5916.48,2,2,1,1,2,0,0
327,42,33.78,2018.29,0,0,0,0,3,0,0
328,70,56.91,4080.18,1,2,1,1,0,1,0
329,15,92.21,6558.5,1,2,0,1,0,0,0
330,54,37.42,3101.29,0,2,1,1,2,0,0
331,60,79.02,1156.79,1,1,0,0,1,1,0
332,8,89.53,3511.78,0,2,1,0,3,0,1
333,53,54.39,4844.97,0,1,1,1,1,1,0
334,60,89.39,158.45,0,0,1,1,0,0,1
335,5,108.42,2853.68,1,1,1,0,3,0,1
336,68,67.21,4898.74,2,2,1,0,3,0,0
337,6,58.29,7620.1,0,0,1,0,1,1,1
338,47,45.12,3327.53,1,2,0,0,3,1,1
339,55,80.42,1387.48,2,2,1,0,2,0,0
340,40,107.99,4320.33,0,0,1,1,1,0,1
341,52,52.47,2357.44,2,2,0,1,2,0,0
342,16,59.62,1796.76,1,1,0,0,0,0,0
343,13,60.66,4764.19,2,0,1,0,1,1,0
344,30,76.08,7335.48,2,0,0,1,3,0,0
345,19,42.84,6698.27,1,0,0,1,1,0,0
346,17,102.22,1540.11,0,2,1,0,2,0,0
347,63,49.56,6150.45,1,2,0,0,2,1,1
348,19,90.54,1915.96,1,0,1,0,0,1,0
349,58,71.32,2396.54,0,1,0,1,3,1,1
350,55,78.59,7368.41,0,2,0,0,3,0,1
351,62,37.96,7297.3,1,2,0,1,0,0,0
352,23,93.5,1432.18,0,2,1,0,2,1,0
353,9,38.86,607.12,0,1,1,0,3,0,1
354,12,31.35,2415.63,1,2,1,1,3,1,0
355,1,74.67,4696.02,1,2,1,0,2,1,1
356,58,90.93,7027.44,1,1,1,1,0,1,0
357,1,25.0,1038.82,1,1,1,0,2,0,0
358,34,26.94,3378.17,2,2,0,1,3,1,0
359,48,100.27,2246.82,2,0,0,1,1,0,0
360,1,100.9,217.94,0,0,1,0,0,0,1
361,16,44.53,6328.73,2,1,0,0,1,0,0
362,61,81.52,6524.95,2,2,1,1,2,1,1
363,64,64.32,1847.71,2,1,1,0,0,0,0
364,63,83.27,1294.8,0,1,0,1,0,0,1
365,69,106.29,1242.03,2,0,0,1,0,1,1
366,22,27.99,3765.18,1,1,1,0,2,0,0
367,67,97.8,2047.32,1,1,1,1,0,1,1
368,26,69.3,4139.71,0,2,0,0,0,1,1
369,16,76.41,3140.33,0,2,0,0,3,0,0
370,51,85.39,1766.03,0,1,0,1,0,0,0
371,57,112.26,6034.42,2,1,1,1,3,0,0
372,29,25.67,1287.87,0,2,1,0,0,0,1
373,69,22.95,6411.33,0,0,1,1,2,1,0
374,47,37.83,4535.43,0,2,1,1,0,1,1
375,62,118.64,6673.09,1,2,1,0,0,1,0
376,69,91.51,137.6,0,2,0,0,2,1,1
377,16,81.46,6018.59,1,2,1,0,0,0,0
378,48,24.7,506.97,1,2,1,1,1,1,0
379,39,107.91,7605.78,0,0,1,1,0,1,0
380,33,101.28,5651.64,0,2,0,0,0,0,1
381,23,86.48,2629.36,2,2,1,0,3,0,0
382,10,53.91,2626.82,0,0,0,0,3,1,1
383,69,27.05,6905.79,0,1,1,0,1,1,0
384,34,78.0,7232.44,0,0,1,1,2,1,1
385,52,91.97,7143.43,0,2,0,1,0,1,1
386,10,29.42,6489.05,0,1,0,0,3,0,1
387,19,83.38,6570.35,0,0,1,1,1,0,1
388,58,48.64,4624.87,2,1,0,1,2,1,0
389,1,96.42,323.03,2,0,0,1,3,1,1
390,69,73.96,785.51,0,0,0,0,2,0,0
391,4,32.9,5231.47,2,1,1,0,1,0,0
392,16,72.65,3269.2,1,1,1,1,2,0,0
393,24,59.57,4581.75,2,1,1,0,2,0,0
394,2,38.04,1925.51,1,1,1,0,1,1,0
395,32,104.15,5230.4,0,2,0,1,2,1,0
396,24,21.1,2018.35,1,0,1,1,1,1,0
397,12,51.21,3740.42,0,2,0,0,2,1,1
398,50,21.26,3881.89,2,0,1,1,3,0,0
399,35,29.6,1503.58,1,2,1,1,3,1,0
400,33,49.71,7022.04,1,2,0,1,3,0,0
401,33,25.43,4253.99,1,0,1,0,3,1,0
402,61,79.66,6947.59,0,2,1,1,1,0,0
403,51,28.69,2174.03,0,1,1,1,2,1,0
404,43,90.17,1461.45,2,1,0,0,1,1,0
405,12,25.26,242.33,2,2,1,0,0,1,0
406,67,25.93,841.53,0,2,0,0,2,0,0
407,65,50.53,1265.02,2,0,0,0,1,1,0
408,33,109.66,722.96,1,0,1,1,2,1,0
409,40,84.14,7185.35,1,2,1,0,2,1,0
410,43,97.01,7300.36,1,0,1,0,0,0,1
411,44,34.16,7505.17,2,1,1,0,3,0,0
412,29,103.41,7682.9,1,1,0,1,2,1,1
413,13,20.81,3985.5,1,1,0,0,2,0,1
414,12,41.31,4287.19,0,0,1,0,0,1,0
415,46,81.61,1133.56,0,0,1,1,1,0,0
416,2,57.52,1182.71,2,0,1,1,3,0,1
417,35,118.42,6204.78,0,0,0,1,1,0,1
418,8,23.03,6860.26,2,2,1,1,1,1,0
419,26,119.86,6299.24,2,2,1,1,1,1,0
420,34,82.36,6693.15,0,2,1,1,3,1,1
421,7,75.87,2284.91,0,2,0,1,1,1,1
422,68,25.95,3781.92,2,1,0,0,1,1,0
423,58,47.33,3727.68,2,0,1,0,3,0,0
424,29,112.47,7962.74,2,1,0,0,3,0,1
425,36,55.42,7598.51,1,0,1,1,0,0,0
426,21,86.17,4828.04,1,2,1,1,1,1,0
427,36,119.95,1189.99,0,1,0,0,0,1,1
428,10,46.31,2142.91,1,0,1,1,2,1,0
429,24,77.61,2973.72,1,2,0,0,0,1,1
430,64,89.64,6998.37,2,0,0,0,0,0,1
431,49,36.46,1448.0,1,0,1,0,0,1,0
432,36,34.87,1836.0,0,2,1,1,0,0,1
433,24,65.63,2860.14,1,1,1,0,1,1,0
434,23,58.58,7422.59,1,0,1,1,2,1,0
435,62,91.42,4080.12,1,2,1,0,2,0,0
436,37,26.95,5210.0,0,0,0,0,3,1,1
437,12,117.22,3159.06,0,0,0,0,2,0,0
438,55,21.43,1589.32,2,0,0,1,0,0,1
439,13,80.13,1860.12,1,1,0,0,3,0,0
440,23,76.26,6441.1,2,1,0,0,0,0,0
441,30,33.47,7158.51,2,1,1,1,1,0,0
442,17,35.09,3995.3,0,1,0,0,1,0,1
443,62,99.27,2920.26,2,2,1,0,2,1,1
444,13,108.76,6481.9,1,1,1,0,0,1,0
445,59,48.3,5417.45,2,0,0,0,0,1,1
446,19,63.8,422.9,0,2,0,1,0,1,0
447,49,55.5,2870.85,0,0,0,0,3,1,1
448,12,27.25,5489.17,0,1,1,0,3,0,1
449,61,87.32,4632.07,1,0,1,1,3,1,0
450,19,102.52,7826.73,2,0,1,1,2,1,0
451,9,50.49,6942.31,1,0,0,0,2,1,1
452,71,119.02,571.93,0,0,1,0,0,1,1
453,28,27.59,5833.58,1,1,1,0,0,1,0
454,52,86.18,2756.98,0,0,0,1,2,0,1
455,16,64.82,5488.45,1,0,1,1,3,1,0
456,69,64.66,4976.07,1,0,1,1,3,0,0
457,12,65.76,4074.1,2,0,0,0,3,0,1
458,25,45.87,6838.3,2,1,1,0,3,1,0
459,52,91.56,5698.65,0,0,0,1,3,1,1
460,53,92.16,7127.49,2,2,0,1,2,1,0
461,23,48.24,2324.67,2,2,1,0,1,1,0
462,16,103.53,2850.21,1,0,1,1,1,1,0
463,57,51.68,5013.42,0,0,0,0,1,0,0
464,39,92.51,7735.07,1,1,1,1,0,0,1
465,53,32.1,3035.5,1,2,1,0,0,0,0
466,42,36.87,355.12,2,1,0,1,3,1,0
467,58,51.58,3622.51,2,0,0,0,0,1,0
468,39,79.39,4397.04,0,2,0,1,2,1,1
469,14,84.55,6427.8,2,2,0,1,1,1,1
470,5,59.64,5855.94,1,1,0,1,2,1,0
471,35,27.78,7720.84,2,0,0,1,2,1,0
472,18,57.36,6283.19,0,2,1,1,2,1,0
473,9,88.88,2459.16,0,1,1,1,3,0,1
474,58,87.1,5166.9,1,2,0,0,3,0,0
475,17,36.02,5410.71,1,0,0,1,3,1,0
476,7,20.78,7984.36,2,0,0,0,0,0,0
477,46,95.3,1196.03,0,0,0,1,3,0,1
478,13,30.64,1611.47,1,1,0,1,0,0,0
479,40,28.23,1328.56,2,0,1,0,2,1,0
480,42,20.27,4753.57,2,1,0,0,1,1,0
481,9,63.26,1168.88,2,2,1,0,3,0,0
482,50,70.33,5282.46,1,0,0,1,0,0,0
483,27,83.77,6449.82,1,1,1,1,0,0,0
484,66,49.61,3519.06,2,1,1,0,3,0,0
485,5,91.04,4529.41,2,1,0,0,3,0,1
486,29,36.93,7310.5,1,0,0,0,2,0,0
487,37,103.2,4599.57,0,1,0,1,0,1,1
488,38,77.18,1747.98,2,0,1,0,1,0,0
489,8,78.39,2811.23,0,0,0,0,2,0,1
490,65,40.98,4285.78,0,2,0,1,0,1,0
491,17,27.41,1323.69,1,2,1,0,2,1,0
492,71,66.47,4938.91,1,0,1,1,2,0,0
493,45,81.56,7994.04,0,2,0,0,3,0,1
494,4,29.5,5255.03,1,1,0,0,1,0,1
495,36,115.05,3042.05,0,0,0,0,1,0,1
496,70,118.04,2720.8,0,2,0,0,0,0,1
497,31,74.55,7459.67,1,1,0,0,2,0,0
498,19,115.01,6984.96,1,0,0,1,3,0,0
499,61,37.94,3831.63,2,1,0,0,0,1,0
500,54,22.54,2891.98,1,0,1,0,0,0,0
501,39,23.94,5712.67,2,2,1,0,0,1,0
502,19,78.75,2584.57,1,1,1,0,1,0,0
503,39,26.16,1043.29,1,2,1,1,2,0,0
504,67,115.85,2550.2,1,1,0,0,2,0,1
505,45,34.19,3530.94,1,1,0,1,3,1,0
506,13,50.47,2117.75,0,1,1,1,1,1,0
507,58,102.25,1812.83,1,1,1,1,1,1,1
508,20,41.87,148.51,0,2,0,1,0,1,0
509,61,44.3,5083.66,1,1,0,0,3,0,0
510,39,84.23,4954.15,1,2,1,1,0,0,1
511,1,47.61,1585.4,0,1,1,0,3,1,1
512,3,41.74,7554.84,1,0,1,1,3,0,1
513,62,45.42,3335.61,2,0,1,1,1,0,0
514,63,69.06,301.29,2,1,0,1,1,1,1
515,25,116.61,1836.2,1,0,0,1,2,1,1
516,56,103.22,5567.33,2,1,0,1,2,0,0
